planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
lama,YYTBB,0,26,level_00_seed_026,1.06,202,6
lama,YYTBB,1,4,level_01_seed_004,4.25,791,17
lama,YYTBB,1,14,level_01_seed_014,2.85,623,22
lama,YYTBB,3,13,level_03_seed_013,3.26,1361,30
lama,YYTBB,4,7,level_04_seed_007,4.54,2068,56
lama,YYTBB,1,24,level_01_seed_024,3.17,473,16
lama,YYTBB,1,5,level_01_seed_005,4.92,331,11
lama,YYTBB,4,5,level_04_seed_005,4.2,1595,39
lama,YYTBB,3,29,level_03_seed_029,3.3,1586,32
lama,YYTBB,3,2,level_03_seed_002,3.26,2313,34
lama,YYTBB,4,15,level_04_seed_015,4.33,1404,34
lama,YYTBB,0,5,level_00_seed_005,1.14,244,7
lama,YYTBB,0,9,level_00_seed_009,1.26,224,8
lama,YYTBB,3,21,level_03_seed_021,3.16,1177,27
lama,YYTBB,2,17,level_02_seed_017,4.02,672,28
lama,YYTBB,2,19,level_02_seed_019,5.31,585,32
lama,YYTBB,4,4,level_04_seed_004,4.25,2117,37
lama,YYTBB,0,28,level_00_seed_028,0.61,110,6
lama,YYTBB,0,21,level_00_seed_021,1.22,288,7
lama,YYTBB,0,11,level_00_seed_011,1.12,239,6
lama,YYTBB,3,16,level_03_seed_016,3.21,1548,25
lama,YYTBB,2,24,level_02_seed_024,4.65,608,21
lama,YYTBB,1,22,level_01_seed_022,3.32,659,18
lama,YYTBB,3,4,level_03_seed_004,3.35,1760,29
lama,YYTBB,3,11,level_03_seed_011,3.27,1565,51
lama,YYTBB,0,29,level_00_seed_029,0.94,189,6
lama,YYTBB,3,6,level_03_seed_006,3.28,1503,36
lama,YYTBB,1,3,level_01_seed_003,2.63,767,16
lama,YYTBB,3,25,level_03_seed_025,3.36,3469,35
lama,YYTBB,2,29,level_02_seed_029,3.39,442,21
lama,YYTBB,1,12,level_01_seed_012,5.3,422,12
lama,YYTBB,2,5,level_02_seed_005,2.13,392,23
lama,YYTBB,4,0,level_04_seed_000,4.48,1901,69
lama,YYTBB,2,23,level_02_seed_023,3.42,671,35
lama,YYTBB,3,1,level_03_seed_001,3.19,1577,32
lama,YYTBB,4,23,level_04_seed_023,4.35,2242,42
lama,YYTBB,1,11,level_01_seed_011,3.8,491,30
lama,YYTBB,4,10,level_04_seed_010,4.54,2112,43
lama,YYTBB,2,9,level_02_seed_009,3.88,810,35
lama,YYTBB,1,26,level_01_seed_026,3.82,509,16
lama,YYTBB,4,16,level_04_seed_016,3.76,1977,45
lama,YYTBB,1,27,level_01_seed_027,2.84,747,18
lama,YYTBB,1,29,level_01_seed_029,3.36,893,18
lama,YYTBB,1,20,level_01_seed_020,3.51,354,13
lama,YYTBB,1,8,level_01_seed_008,2.68,634,20
lama,YYTBB,0,15,level_00_seed_015,0.82,201,9
lama,YYTBB,0,14,level_00_seed_014,0.79,188,8
lama,YYTBB,1,17,level_01_seed_017,3.83,1051,21
lama,YYTBB,1,7,level_01_seed_007,2.21,834,20
lama,YYTBB,0,25,level_00_seed_025,0.96,152,8
lama,YYTBB,3,24,level_03_seed_024,3.09,1617,42
lama,YYTBB,0,24,level_00_seed_024,0.8,190,11
lama,YYTBB,4,25,level_04_seed_025,4.78,1481,40
lama,YYTBB,0,1,level_00_seed_001,0.94,145,6
lama,YYTBB,4,27,level_04_seed_027,4.02,2251,40
lama,YYTBB,2,13,level_02_seed_013,6.67,709,24
lama,YYTBB,2,0,level_02_seed_000,3.74,818,26
lama,YYTBB,1,6,level_01_seed_006,5.71,315,11
lama,YYTBB,0,17,level_00_seed_017,0.73,158,6
lama,YYTBB,3,17,level_03_seed_017,3.35,1338,26
lama,YYTBB,4,26,level_04_seed_026,3.71,1780,33
lama,YYTBB,0,18,level_00_seed_018,1.16,222,6
lama,YYTBB,3,14,level_03_seed_014,3.29,1596,32
lama,YYTBB,4,28,level_04_seed_028,4.34,1591,31
lama,YYTBB,1,1,level_01_seed_001,3.22,485,12
lama,YYTBB,2,21,level_02_seed_021,3.47,779,27
lama,YYTBB,3,18,level_03_seed_018,3.3,2060,35
lama,YYTBB,0,6,level_00_seed_006,1.51,259,8
lama,YYTBB,0,23,level_00_seed_023,0.7,149,6
lama,YYTBB,2,7,level_02_seed_007,3.68,600,24
lama,YYTBB,4,8,level_04_seed_008,4.08,2308,39
lama,YYTBB,0,16,level_00_seed_016,0.8,180,6
lama,YYTBB,4,17,level_04_seed_017,4.65,1937,55
lama,YYTBB,1,0,level_01_seed_000,3.82,566,17
lama,YYTBB,4,2,level_04_seed_002,4.3,1671,37
lama,YYTBB,2,3,level_02_seed_003,6.09,698,24
lama,YYTBB,1,2,level_01_seed_002,3.04,753,19
lama,YYTBB,1,18,level_01_seed_018,3.35,516,20
lama,YYTBB,4,11,level_04_seed_011,4.3,2577,52
lama,YYTBB,3,26,level_03_seed_026,3.39,1760,29
lama,YYTBB,2,12,level_02_seed_012,5.28,609,23
lama,YYTBB,2,18,level_02_seed_018,3.24,835,37
