planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
seq-opt-bjolp,ROCK,3,11,level_03_seed_011,7.51,55,40
seq-opt-bjolp,ROCK,0,29,level_00_seed_029,0.45,14,13
seq-opt-bjolp,ROCK,3,6,level_03_seed_006,6.95,97,32
seq-opt-bjolp,ROCK,1,3,level_01_seed_003,0.44,14,13
seq-opt-bjolp,ROCK,3,25,level_03_seed_025,7.58,105,44
seq-opt-bjolp,ROCK,2,29,level_02_seed_029,0.13,15,14
seq-opt-bjolp,ROCK,1,12,level_01_seed_012,1.76,42,19
seq-opt-bjolp,ROCK,2,5,level_02_seed_005,1.02,29,21
seq-opt-bjolp,ROCK,4,0,level_04_seed_000,8.4,99,40
seq-opt-bjolp,ROCK,2,23,level_02_seed_023,0.92,16,12
seq-opt-bjolp,ROCK,3,1,level_03_seed_001,6.93,121,44
seq-opt-bjolp,ROCK,4,23,level_04_seed_023,6.43,116,35
seq-opt-bjolp,ROCK,1,11,level_01_seed_011,0.76,32,17
seq-opt-bjolp,ROCK,4,10,level_04_seed_010,7.68,86,34
seq-opt-bjolp,ROCK,2,9,level_02_seed_009,1.89,42,17
seq-opt-bjolp,ROCK,1,26,level_01_seed_026,1.01,32,17
seq-opt-bjolp,ROCK,4,16,level_04_seed_016,8.43,73,39
seq-opt-bjolp,ROCK,1,27,level_01_seed_027,0.77,20,17
seq-opt-bjolp,ROCK,1,29,level_01_seed_029,0.44,14,13
seq-opt-bjolp,ROCK,1,20,level_01_seed_020,0.13,15,14
seq-opt-bjolp,ROCK,1,8,level_01_seed_008,0.12,15,14
seq-opt-bjolp,ROCK,0,15,level_00_seed_015,0.52,11,10
seq-opt-bjolp,ROCK,0,14,level_00_seed_014,0.45,14,13
seq-opt-bjolp,ROCK,1,17,level_01_seed_017,0.45,14,13
seq-opt-bjolp,ROCK,1,7,level_01_seed_007,1.42,56,24
seq-opt-bjolp,ROCK,0,25,level_00_seed_025,0.69,11,6
seq-opt-bjolp,ROCK,3,24,level_03_seed_024,9.84,60,37
seq-opt-bjolp,ROCK,0,24,level_00_seed_024,0.31,10,9
seq-opt-bjolp,ROCK,4,25,level_04_seed_025,8.64,110,39
seq-opt-bjolp,ROCK,0,1,level_00_seed_001,0.45,14,13
seq-opt-bjolp,ROCK,4,27,level_04_seed_027,7.5,96,41
