planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
seq-sat-fdss-2023,2007,0,10,level_00_seed_010,5.07,38,19
seq-sat-fdss-2023,2007,3,0,level_03_seed_000,4.12,43,30
seq-sat-fdss-2023,2007,4,3,level_04_seed_003,3.29,116,33
seq-sat-fdss-2023,2007,2,8,level_02_seed_008,2.22,11,8
seq-sat-fdss-2023,2007,3,5,level_03_seed_005,3.39,116,33
seq-sat-fdss-2023,2007,2,27,level_02_seed_027,2.23,11,8
seq-sat-fdss-2023,2007,3,12,level_03_seed_012,5.02,38,19
seq-sat-fdss-2023,2007,3,27,level_03_seed_027,6.34,39,19
seq-sat-fdss-2023,2007,2,16,level_02_seed_016,2.27,11,8
seq-sat-fdss-2023,2007,4,9,level_04_seed_009,3.43,116,33
seq-sat-fdss-2023,2007,0,19,level_00_seed_019,2.17,11,8
seq-sat-fdss-2023,2007,1,23,level_01_seed_023,5.17,38,19
seq-sat-fdss-2023,2007,2,15,level_02_seed_015,6.42,39,19
seq-sat-fdss-2023,2007,3,28,level_03_seed_028,4.12,43,30
seq-sat-fdss-2023,2007,1,19,level_01_seed_019,7.35,39,19
seq-sat-fdss-2023,2007,2,4,level_02_seed_004,4.1,43,30
seq-sat-fdss-2023,2007,0,8,level_00_seed_008,2.2,11,8
seq-sat-fdss-2023,2007,3,8,level_03_seed_008,3.32,116,33
seq-sat-fdss-2023,2007,2,10,level_02_seed_010,3.38,116,33
seq-sat-fdss-2023,2007,3,7,level_03_seed_007,3.25,116,33
seq-sat-fdss-2023,2007,0,20,level_00_seed_020,2.21,11,8
seq-sat-fdss-2023,2007,2,11,level_02_seed_011,2.22,11,8
seq-sat-fdss-2023,2007,1,16,level_01_seed_016,2.2,11,8
seq-sat-fdss-2023,2007,4,20,level_04_seed_020,6.27,39,19
seq-sat-fdss-2023,2007,0,0,level_00_seed_000,2.19,11,8
seq-sat-fdss-2023,2007,4,19,level_04_seed_019,3.29,116,33
seq-sat-fdss-2023,2007,2,1,level_02_seed_001,3.29,116,33
seq-sat-fdss-2023,2007,3,22,level_03_seed_022,3.42,116,33
seq-sat-fdss-2023,2007,1,28,level_01_seed_028,2.22,11,8
seq-sat-fdss-2023,2007,3,23,level_03_seed_023,3.29,116,33
seq-sat-fdss-2023,2007,1,21,level_01_seed_021,2.23,11,8
seq-sat-fdss-2023,2007,3,20,level_03_seed_020,3.28,116,33
seq-sat-fdss-2023,2007,4,18,level_04_seed_018,6.46,39,19
seq-sat-fdss-2023,2007,4,6,level_04_seed_006,6.32,39,19
seq-sat-fdss-2023,2007,4,22,level_04_seed_022,4.16,43,30
seq-sat-fdss-2023,2007,0,2,level_00_seed_002,6.34,39,19
seq-sat-fdss-2023,2007,0,13,level_00_seed_013,6.26,39,19
seq-sat-fdss-2023,2007,2,14,level_02_seed_014,5.0,38,19
seq-sat-fdss-2023,2007,2,22,level_02_seed_022,2.19,11,8
seq-sat-fdss-2023,2007,2,20,level_02_seed_020,6.3,39,19
