planner,generator,difficulty,instance,name,time_taken,expanded_states,plan_length
seq-sat-fdss-2023,2007,3,21,level_03_seed_021,7.45,185,39
seq-sat-fdss-2023,2007,2,17,level_02_seed_017,3.77,482,33
seq-sat-fdss-2023,2007,2,19,level_02_seed_019,2.4,60,8
seq-sat-fdss-2023,2007,4,4,level_04_seed_004,6.2,255,62
seq-sat-fdss-2023,2007,0,28,level_00_seed_028,2.38,60,8
seq-sat-fdss-2023,2007,0,21,level_00_seed_021,6.66,134,19
seq-sat-fdss-2023,2007,0,11,level_00_seed_011,5.4,436,19
seq-sat-fdss-2023,2007,3,16,level_03_seed_016,7.31,185,39
seq-sat-fdss-2023,2007,2,24,level_02_seed_024,4.39,67,30
seq-sat-fdss-2023,2007,1,22,level_01_seed_022,6.88,134,19
seq-sat-fdss-2023,2007,3,4,level_03_seed_004,4.51,67,30
seq-sat-fdss-2023,2007,3,11,level_03_seed_011,6.67,134,19
seq-sat-fdss-2023,2007,0,29,level_00_seed_029,5.46,436,19
seq-sat-fdss-2023,2007,3,6,level_03_seed_006,4.43,67,30
seq-sat-fdss-2023,2007,1,3,level_01_seed_003,4.49,67,30
seq-sat-fdss-2023,2007,3,25,level_03_seed_025,7.34,185,39
seq-sat-fdss-2023,2007,2,29,level_02_seed_029,2.37,60,8
seq-sat-fdss-2023,2007,1,12,level_01_seed_012,6.69,134,19
seq-sat-fdss-2023,2007,2,5,level_02_seed_005,6.7,134,19
seq-sat-fdss-2023,2007,4,0,level_04_seed_000,3.67,482,33
seq-sat-fdss-2023,2007,2,23,level_02_seed_023,2.37,60,8
seq-sat-fdss-2023,2007,3,1,level_03_seed_001,6.65,134,19
seq-sat-fdss-2023,2007,4,23,level_04_seed_023,6.72,134,19
seq-sat-fdss-2023,2007,1,11,level_01_seed_011,6.6,134,19
seq-sat-fdss-2023,2007,4,10,level_04_seed_010,6.82,134,19
seq-sat-fdss-2023,2007,2,9,level_02_seed_009,6.68,134,19
seq-sat-fdss-2023,2007,1,26,level_01_seed_026,4.44,67,30
seq-sat-fdss-2023,2007,4,16,level_04_seed_016,6.12,255,62
seq-sat-fdss-2023,2007,1,27,level_01_seed_027,4.48,67,30
seq-sat-fdss-2023,2007,1,29,level_01_seed_029,6.78,134,19
seq-sat-fdss-2023,2007,1,20,level_01_seed_020,2.35,60,8
seq-sat-fdss-2023,2007,1,8,level_01_seed_008,5.5,436,19
seq-sat-fdss-2023,2007,0,15,level_00_seed_015,2.41,60,8
seq-sat-fdss-2023,2007,0,14,level_00_seed_014,6.84,134,19
seq-sat-fdss-2023,2007,1,17,level_01_seed_017,4.43,67,30
seq-sat-fdss-2023,2007,1,7,level_01_seed_007,5.51,436,19
seq-sat-fdss-2023,2007,0,25,level_00_seed_025,2.47,60,8
seq-sat-fdss-2023,2007,3,24,level_03_seed_024,3.71,482,33
seq-sat-fdss-2023,2007,0,24,level_00_seed_024,6.65,134,19
seq-sat-fdss-2023,2007,4,25,level_04_seed_025,6.64,134,19
seq-sat-fdss-2023,2007,0,1,level_00_seed_001,2.4,60,8
seq-sat-fdss-2023,2007,4,27,level_04_seed_027,4.45,67,30
seq-sat-fdss-2023,2007,2,13,level_02_seed_013,4.48,67,30
seq-sat-fdss-2023,2007,2,0,level_02_seed_000,3.68,482,33
seq-sat-fdss-2023,2007,1,6,level_01_seed_006,4.37,67,30
seq-sat-fdss-2023,2007,0,17,level_00_seed_017,7.94,134,19
seq-sat-fdss-2023,2007,3,17,level_03_seed_017,5.45,436,19
seq-sat-fdss-2023,2007,4,26,level_04_seed_026,3.77,482,33
seq-sat-fdss-2023,2007,0,18,level_00_seed_018,5.5,436,19
seq-sat-fdss-2023,2007,3,14,level_03_seed_014,7.32,185,39
seq-sat-fdss-2023,2007,4,28,level_04_seed_028,4.48,67,30
seq-sat-fdss-2023,2007,1,1,level_01_seed_001,4.5,67,30
seq-sat-fdss-2023,2007,2,21,level_02_seed_021,3.72,482,33
seq-sat-fdss-2023,2007,3,18,level_03_seed_018,7.32,185,39
seq-sat-fdss-2023,2007,0,6,level_00_seed_006,5.46,436,19
seq-sat-fdss-2023,2007,0,23,level_00_seed_023,5.41,436,19
seq-sat-fdss-2023,2007,2,7,level_02_seed_007,4.42,67,30
seq-sat-fdss-2023,2007,4,8,level_04_seed_008,3.73,482,33
seq-sat-fdss-2023,2007,0,16,level_00_seed_016,6.87,134,19
seq-sat-fdss-2023,2007,4,17,level_04_seed_017,4.5,67,30
seq-sat-fdss-2023,2007,1,0,level_01_seed_000,5.43,436,19
seq-sat-fdss-2023,2007,4,2,level_04_seed_002,3.74,482,33
seq-sat-fdss-2023,2007,2,3,level_02_seed_003,2.33,60,8
seq-sat-fdss-2023,2007,1,2,level_01_seed_002,5.54,436,19
seq-sat-fdss-2023,2007,1,18,level_01_seed_018,2.35,60,8
seq-sat-fdss-2023,2007,4,11,level_04_seed_011,6.79,134,19
seq-sat-fdss-2023,2007,3,26,level_03_seed_026,5.5,436,19
seq-sat-fdss-2023,2007,2,12,level_02_seed_012,4.47,67,30
seq-sat-fdss-2023,2007,2,18,level_02_seed_018,5.56,436,19
seq-sat-fdss-2023,2007,4,21,level_04_seed_021,6.6,134,19
seq-sat-fdss-2023,2007,3,10,level_03_seed_010,4.49,67,30
seq-sat-fdss-2023,2007,2,6,level_02_seed_006,4.47,67,30
seq-sat-fdss-2023,2007,1,15,level_01_seed_015,6.69,134,19
seq-sat-fdss-2023,2007,2,2,level_02_seed_002,6.67,134,19
seq-sat-fdss-2023,2007,3,19,level_03_seed_019,7.42,185,39
seq-sat-fdss-2023,2007,4,14,level_04_seed_014,3.73,482,33
seq-sat-fdss-2023,YYTBB,0,10,level_00_seed_010,1.13,54,7
seq-sat-fdss-2023,YYTBB,3,0,level_03_seed_000,3.64,690,39
seq-sat-fdss-2023,YYTBB,4,3,level_04_seed_003,4.34,1011,43
seq-sat-fdss-2023,YYTBB,2,8,level_02_seed_008,4.34,221,28
seq-sat-fdss-2023,YYTBB,3,5,level_03_seed_005,3.55,987,41
seq-sat-fdss-2023,YYTBB,2,27,level_02_seed_027,6.39,100,17
seq-sat-fdss-2023,YYTBB,3,12,level_03_seed_012,3.57,489,23
seq-sat-fdss-2023,YYTBB,3,27,level_03_seed_027,3.46,636,23
seq-sat-fdss-2023,YYTBB,2,16,level_02_seed_016,4.27,135,33
seq-sat-fdss-2023,YYTBB,4,9,level_04_seed_009,4.97,709,48
seq-sat-fdss-2023,YYTBB,0,19,level_00_seed_019,1.09,15,4
seq-sat-fdss-2023,YYTBB,1,23,level_01_seed_023,3.23,198,15
seq-sat-fdss-2023,YYTBB,2,15,level_02_seed_015,2.85,154,18
seq-sat-fdss-2023,YYTBB,3,28,level_03_seed_028,3.73,1498,38
seq-sat-fdss-2023,YYTBB,1,19,level_01_seed_019,4.33,346,21
seq-sat-fdss-2023,YYTBB,2,4,level_02_seed_004,3.89,241,37
seq-sat-fdss-2023,YYTBB,0,8,level_00_seed_008,1.11,64,12
seq-sat-fdss-2023,YYTBB,3,8,level_03_seed_008,3.79,802,45
seq-sat-fdss-2023,YYTBB,2,10,level_02_seed_010,5.6,201,29
seq-sat-fdss-2023,YYTBB,3,7,level_03_seed_007,3.75,910,35
seq-sat-fdss-2023,YYTBB,0,20,level_00_seed_020,1.17,40,6
seq-sat-fdss-2023,YYTBB,2,11,level_02_seed_011,3.57,399,40
seq-sat-fdss-2023,YYTBB,1,16,level_01_seed_016,4.83,236,19
seq-sat-fdss-2023,YYTBB,4,20,level_04_seed_020,4.71,783,41
seq-sat-fdss-2023,YYTBB,0,0,level_00_seed_000,1.03,51,6
seq-sat-fdss-2023,YYTBB,4,19,level_04_seed_019,4.71,1439,48
seq-sat-fdss-2023,YYTBB,2,1,level_02_seed_001,6.48,229,23
seq-sat-fdss-2023,YYTBB,3,22,level_03_seed_022,3.49,565,23
seq-sat-fdss-2023,YYTBB,1,28,level_01_seed_028,3.52,193,15
seq-sat-fdss-2023,YYTBB,3,23,level_03_seed_023,3.77,794,39
seq-sat-fdss-2023,YYTBB,1,21,level_01_seed_021,3.01,214,18
seq-sat-fdss-2023,YYTBB,3,20,level_03_seed_020,3.56,776,36
seq-sat-fdss-2023,YYTBB,4,18,level_04_seed_018,4.51,853,36
seq-sat-fdss-2023,YYTBB,4,6,level_04_seed_006,4.36,919,47
seq-sat-fdss-2023,YYTBB,4,22,level_04_seed_022,4.19,1111,37
seq-sat-fdss-2023,YYTBB,0,2,level_00_seed_002,0.86,32,9
seq-sat-fdss-2023,YYTBB,0,13,level_00_seed_013,1.13,65,9
seq-sat-fdss-2023,YYTBB,2,14,level_02_seed_014,3.01,440,39
seq-sat-fdss-2023,YYTBB,2,22,level_02_seed_022,6.9,136,20
seq-sat-fdss-2023,YYTBB,2,20,level_02_seed_020,3.33,166,26
seq-sat-fdss-2023,YYTBB,0,12,level_00_seed_012,0.82,58,9
seq-sat-fdss-2023,YYTBB,0,27,level_00_seed_027,1.12,62,7
seq-sat-fdss-2023,YYTBB,4,12,level_04_seed_012,4.76,782,38
seq-sat-fdss-2023,YYTBB,2,28,level_02_seed_028,4.54,341,35
seq-sat-fdss-2023,YYTBB,3,15,level_03_seed_015,3.61,761,35
